customer_id,age,income,employment_status,credit_score,debt_to_income,country,customer_risk
C00000,24,60051.271151423396,self-employed,640.4542915643588,0.17193910995843023,IT,low
C00001,64,72996.30918511619,employed,720.1133738379078,0.09747171365517332,IE,low
C00002,57,29770.742278453403,student,703.9605015225367,0.0868898026159508,IT,medium
C00003,44,49374.81036328887,employed,608.261436913682,0.05264753953371452,ES,medium
C00004,44,83110.56650083844,student,651.1705562211629,0.20906213373631477,IE,low
C00005,69,36384.64719493615,employed,750.5869586130806,0.5563238152997507,FR,high
C00006,24,34732.749636903274,employed,697.256903360836,0.5642347017807495,NL,high
C00007,60,56248.43002845506,employed,550.4491112644072,0.2847762800712174,IE,low
C00008,30,69732.08900019171,employed,718.7606810160534,0.36461252731630833,FR,low
C00009,24,52239.94716677385,employed,576.0619289602284,0.17382286673091493,FR,medium
C00010,50,79908.17239917678,employed,780.8260717368025,0.4687669488895174,DE,low
C00011,76,69992.67363389707,employed,748.9761048669641,0.3210934271871534,FR,low
C00012,62,69678.2214046913,self-employed,688.7706090253089,0.43054819643341574,ES,low
C00013,63,63636.44652780596,employed,677.8930931617679,0.37915962068390646,IE,high
C00014,61,100880.71510726778,employed,647.8593550057516,0.2640650174813481,DE,low
C00015,65,47691.60453381307,self-employed,720.6389640148024,0.411627883548166,IT,medium
C00016,49,9926.03186660321,employed,634.596190104111,0.08334755060480997,IT,low
C00017,26,85689.34159185996,employed,684.3167293924713,0.2866436500540556,IE,low
C00018,68,,student,736.498618054595,0.42486259962681566,IT,medium
C00019,45,54265.489331203695,self-employed,618.9318634309017,0.27440976523139426,DE,low
C00020,48,79500.56438207107,employed,614.472195320763,0.3571710866200982,NL,low
C00021,40,18352.549637762568,self-employed,567.0620305805944,0.1615498647953621,IE,low
C00022,29,25715.408503771072,employed,577.7132348176539,0.45562983532559337,IE,medium
C00023,73,18373.16332050407,employed,515.0715844617969,0.14914698070251253,ES,low
C00024,65,35323.137909466095,self-employed,724.8459606992734,0.3929604010925569,IE,low
C00025,56,61232.368726356864,employed,813.3309924507872,0.23287672619921893,IT,low
C00026,42,63007.94469906819,self-employed,781.8769733645651,0.46229322166444675,DE,low
C00027,67,57801.75776589963,employed,531.6610719326256,0.02,IE,low
C00028,51,22331.916438260305,self-employed,724.4380830676084,0.5108303260223762,FR,low
C00029,45,9000.0,employed,781.6127206937316,0.2620329228955556,NL,low
C00030,45,53141.42529319803,employed,627.5415815794296,0.07576200867662317,FR,low
C00031,32,42092.70329359495,employed,673.318689313304,0.3300010000847689,IT,medium
C00032,24,61647.10120604884,employed,500.35276983401707,0.375757180871315,DE,medium
C00033,51,66741.02615064668,self-employed,686.8723657740846,0.121118232686957,ES,low
C00034,71,54903.07007323232,employed,577.7881021863532,0.22719151330786183,IE,low
C00035,22,67962.79479289294,employed,681.3700714687442,0.40250595286870655,IT,low
C00036,69,56813.43885641644,employed,536.9813603805118,0.03672614158317063,FR,high
C00037,67,63131.3588176308,employed,709.5143744071629,0.1529821914769705,IE,low
C00038,35,37201.86147973247,self-employed,749.0100393849885,0.20160268708020665,NL,low
C00039,56,48228.16030953937,employed,600.7792513393563,0.0969634687859192,IT,low
C00040,28,56132.298029796104,unemployed,571.7723483243444,0.6035800803131962,ES,low
C00041,63,69231.0979837658,employed,488.20611051090157,0.48073796172399147,DE,low
C00042,60,43731.435383283984,employed,643.1540902058355,0.43770270669901357,DE,low
C00043,39,62944.51237037437,employed,617.3092973889084,0.36984004034447915,FR,medium
C00044,23,46417.38536977704,employed,537.8164081874595,0.6740300063791862,IE,medium
C00045,76,49531.61448610926,student,702.1475380175981,0.17154297827702733,IE,medium
C00046,45,69419.89988250553,unemployed,628.1024286870987,0.4145722758043858,NL,medium
C00047,71,10145.732207862726,student,576.789651391091,0.3004654247999559,IE,low
C00048,58,24774.08111043002,employed,619.5250627374834,0.298922410307983,DE,high
C00049,64,20874.106653700765,employed,752.8469721922285,0.39539393463797756,IE,medium
C00050,63,9000.0,employed,714.4408293879283,0.12437890745517571,FR,medium
C00051,30,37756.44675674129,employed,654.3378629571239,0.12895104578498315,DE,medium
C00052,40,67738.11189428254,self-employed,715.7666115141179,0.09295330430804546,IT,low
